,person,herkunft,lebensdaten,karriere
2051,Takemura Masaru (Tadashi) 竹村正,Tôkyô,12.5.1876–2.2.1934,"WS 1907/08–WS 1909/10 Medizin (Innere) – U Heidelberg, Neuenb. Landstr. 68, bei Ehrmann; Blumenstr. 24, bei Lechner ♦ Aug. 1909–Febr. 1910 am Staatlichen Forschungsinstitut Karlsuhe.Professor der Medizinischen Hochschule Chiba Ika Daigaku."
2052,Takemura Yasuji 竹村易,Ôsaka,21.6.1861–7.1.1929,"GH SS 1914 Medizin (Pharmazie) – U Tübingen.Direktor des Takemura-Hospitals in Sakai, Arzt in Ôsaka."
2053,Takenaka Shigejirô 竹中繁次郎,"Tomari, Toyama-ken",27.6.1866263–,"März 1904–Mai 1907 Medizin (Innere) ♦ SS 1904 – U Leipzig, Brüderstr. 63/3 ♦ WS 1904/05 – U München, Adlzreiterstr. 33.Dr. med. 1905, München: Über beginnende Lebercyrrhose. 23 S.Arzt in Kanda, Tôkyô."
2054,Takeno Yoshijirô 竹野芳次郎,Ôsaka,4.11.1875–,"Juni 1909–1912 Medizin (Pädiatrie) in München und Berlin ♦ WS 1909/10–WS 1910/11 – U München, Mozartstr. 9/2; Wal therstr. 25/2 r.; Paul Heysestr. 28/1.Dr. med. 1911, München: Aus der pädagogischen Poliklinik im Reisingerianum. Beitrag zur Diagnose der Tuberkulose im frühen Kindesalter. 35 S.Arzt in Shibuya, Tôkyô. Publik. u.a. Kodomo wo jôbu ni suru shinikujihô 子供を丈夫にする新育児法 (Das neue Gesetz zum gesunden Heranwachsen der Kinder, 1925)."
2055,Takeoka Minokichi 竹岡峰吉,Amariko,1867–,"1907–1908 Medizin ♦ SS 1907–WS 1907/08 – U Leipzig-Reudnitz, Josephinenstr. 39/1 ♦ SS 1908 – Erlangen, Luitpoldstr. 28."
2056,Takeshima Tsutomu 武島務,-,1863–1890,"SS 1887–WS 1888/89 (Armee) Medizin – U Berlin, N 4 Invalidenstr. 85.In Dresden verstorben."
2057,Takeuchi Daizô (Daisô) 武内大造,Saitama-ken,Febr. 1873–,"WS 1909/10–WS 1910/11 (MfB) Deutsch – U Berlin, Wilmersdorf, Augustastr. 57.Professor der Fremdsprachenschule Tôkyô Gaikokugo Gakkô. Publik. u.a. Kollektaneen aus modernen Schriftstellern (1917)."
2058,Takeuchi Sueichi (Suekazu) 竹内季一,Tôkyô,2.10.1876–25.1.1936,"WS 1907/08 (JE) Ingenieurwesen (Tiefbau) – TH Berlin, Charlottenburg, Kurfürstendamm 212.Direktor des Stahlbauunternehmens Tôkyô Tekkotu Kyôryô Kôgyô."
2059,Takeya Hiro (Hirokichi) 武谷広(広吉),Fukuoka-ken,7.5.1875–30.1.1941,Nov. 1906–Jan. 1909 (MfB) Medizin ♦ 1906–1908 in Tübingen.Professor der Kyûshû-Universität.
2060,Takeyama Masao 竹山政夫,Niigata-ken,"20.9.1873–2,5,1936","Mai 1904–Dez. 1907 Medizin (Chirurgie) ♦ WS 1904/05–SS 1905 – U Berlin, W Steglitzerstr. 39.Direktor des Takeyama-Hospitals."
2061,Taki Rentarô 滝廉太郎,"Hide-chô, Ôita-ken",24.8.1879–29.6.1903,März 1901–Okt. 1902 (MfB) Musikstudien an der Musikakademie Leipzig.Komponist zahlreicher Lieder.
2062,Takidani Zenichi 滝谷善一,Ôsaka,30.6.1883–18.9.1947,"1913–1914 (MfB) Staatswissenschaft ♦ SS 1913–WS 1913/14 – U Berlin, W 37 An der Apostelkirche 8 ♦ GH SS 1914 – U Leipzig.Professor der Handelshochschule Kôbe Shôgyô Daigaku. Publik. u.a. Theorie der Tarifstatistik in der Feuerversicherung (Covertitle: Extract from: XIe congres international d'actuai res, Paris, 1937)."
2063,Takiguchi Kinji 滝口金治,Kyôto,2.2.1859–,"1903–1905 Medizin (Innere) ♦ WS 1903/04265 – U Erlangen ♦ SS 1904–WS 1904/05 – U München, Goethestr. 51/2.Dr. med. 1905, München: Drei Fälle von Aortitis syphilitica. 25 S.Arzt in der Uchino-Gastrologie-Klinik."
2064,Takimoto Yoshio 滝本美夫,Wakayama-ken,25.8.1876–,"Juli 1899–Nov. 1902 (MfB) Staatswissenschaft ♦ WS 1899/1900–WS 1900/01 – U München, Leopoldstr. 59 ♦ SS 1901–WS 1901/02 – U Berlin, Kurfürstendamm 140.Sektionsleiter der Bank 34 in Ôsaka. Publik. u.a. Tôkeigaku 統計學 (Statistik), Kokumin keizaigaku genron 国民経済学原論 (Grundriss der Volkswirtschaft)."
2065,Takiyama Hitoshi 滝山與,Ôsaka,16.8.1877–21.1.1945,WS 1912/13–WS 1913/14 (JE) Ingenieurwesen (Tiefbau) – TH München.Professor der Kyôto-Universität.
2066,Tako Mitsutoshi 多胡実敏,-,–18.7.1905,"1887–Juli 1890 (Armee) Militärstudien.Fotograf, Angestellter des Generalstabes der Armee, Abteilung Geografie."
2067,Tamahashi Ichizô (Shizô) 玉橋市三,Niigata-ken,1876–3.5.1927,"WS 1912/13–WS 1913/14 (JE) Ingenieurwesen (Maschinenbau) – TH Berlin, W 50Ansbacher Str. 42/2.Eisenbahn-Ingenieur."
2068,Tamai Kisaku 玉井喜作,"Mitsui-mura, Yamaguchi-ken",19.5.1866–25.9.1906,"SS 1895–WS 1895/96 Recht – U Berlin, Hedemannstr. 11.Journalist, 1898–1906 Gründer und Chefredakteur der Zeitschrift Ost-Asien in Berlin. Sie vermittelte Japanern Informationen zu Deutschland und Deutschen Informationen zu Japan. Publik. u.a. Karawanen-Reise in Sibirien (Berlin 1898, Anhang: Weltreise mehrerer Japaner über Sibirien vor 100 Jahren). Rundschau am politischen Horizont Ostasiens von Juli 1898 bis September 1900."
2069,Tamano Ichikuma 玉乃一熊,Tôkyô,9.5.1868–,"1889–1891 Recht ♦ SS 1889–WS 1889/90 – U Berlin, Potsdam, Große Weinmeisterstr. ♦ SS 1890 - WS 1890/91 – U Tübingen, Nauklerstr. 15 ♦ SS 1892 Recht – U Berlin, Potsdam, Große Weinmeisterstr."
2070,Tamaru Setsurô 田丸節郎,Iwate-ken,1.11.1879–5.8.1944,"1908–1910 (MfB) Chemie ♦ SS 1908–WS 1908/09 – U Göttingen, Kreuzbergweg 15 ♦ SS 1909–SS 1910 – TH Karlsruhe, Waldhornstr. 10.Professor des Instituts für Technologie in Tôkyô."
2071,Tamaru Takurô 田丸卓郎,Tôkyô,29.9.1872–22.9.1932,"1902–1905 (MfB) NW-Studien (Physik) ♦ GH SS 1902 – U Leipzig ♦ WS 1902/03–WS 1904/05 – U Göttingen, Kreuzbergweg 15.Physiker, Aeronautiker, Professor der Tôkyô-Universität, Mitglied des Instituts für Aeronautische Forschungen, Verdienste um die Entwicklung von Messinstrumenten für Flugzeuge, aktiv in der Bewegung zur Popularisierung der lateinischen Schrift Romaji. Publik. u.a. Rômajibun no kenkyû ローマ字文の研究 (Studien zur Rômaji-Literatur), Tamaru hakushi ronbun senshû: Nihonshiki rômaji no rekishi to tenkai  田丸博士論文選集: 日本式ローマ字の歴史と展開 (Sammlung von Aufsätzen Dr. Tamaru’s zu Geschichte und Entwicklung der japanischen Rômaji), Ryûtai rikigaku 流體力學 (Physik flüssiger Körper), Butsurigaku shinkyôkasho: futsû kyôiku  物理學新教科書: 普通教育 (Neues Lehrbuch der Physik: Allgemeinbildung)."
2072,Tamemori Yasaburô 為森弥三郎,Wakayama-ken,-,1913–1914 Medizin in Berlin.
2073,Tamura (Hayakawa) Iyozô 田村(早川)怡与造,Yamanashi,8.11.1854–1.10.1903,"Jan. 1883–Juli 1888 (Armee) Militärstudien als Hauptmann in Deutschland undFrankreich.Generalleutnant, 1894 Generalstabschef der 1. Armee, Sept. 1895–Juni 1897 Militärattaché in Berlin. 1902 stellvertretender Generalstabschef des Heeres. Älterer Bruder des Tamura Okinosuke¬."
2074,Tamura (Tanaka) Morie 田村 (田中) 守衛,-,1871–1923,"Juni 1907–1909 (Armee) Militärstudien als Major in Berlin und Großenhain ♦ April–Sept. 1908 Kommandierung zum Königlich-Sächsischen 1. Husaren-Regiment König Albert Nr. 18 in Großenhain.Generalleutnant, Direktor der Militärakademie Rikugun Daigaku."
2075,Tamura Chin,-,-,1913–Febr. 1914 (Armee) Ingenieurwesen (Tiefbau) als Ordonanzoffizier.
2076,Tamura Okinosuke 田村沖之甫,-,–11.4.1919,"Aug. 1902–April 1905 (Armee) Militärstudien als Major der Artillerie in Magdeburgund Berlin, darunter ein Jahr Dienst in einem Feldartillerie-Regiment.Okt. 1910–Jan. 1913 Militärattaché in Berlin. Generalleutnant, Leiter des Büros 4 im Generalstab der Armee 1914-1916, verantwortlich für Kartografie, Militärgeschichte, Übersetzung und Archiv. Jüngerer Bruder des Tamura Iyozô¬."
2077,Tamura Oto 田村於兎,Fukushima-ken,30.3.1883–,Dez. 1912–Okt. 1914 (MfB) Medizin ♦ 1913–1914 in Freiburg.Präsident der Medizinischen Hochschule Okayama.
2078,Tamura Rokusaburô 田村六三郎,Tochigi-ken,13.7.1871–,"1904–1905 Medizin ♦ WS 1903/04–SS 1905268 – U Rostock, Neue Werderstr. 18 ♦ SS 1905 – U München, Landwehrstr. 42/3 l.Dr. med. 1905, München: Casuistischer Beitrag zur Lehre von der Pankreas apoplexie und Fettgewebsnekrose. 39 S.Arzt in Chiba. Publik. u.a. Geka kanbetsu shindangaku 外科鑑別診斷學 (Differenzialdiagnostik in der Chirurgie), Gekan oyobi ôgen 下疳及横痃 (Schanker und Bubo)."
2079,Tamura Sakae (Shô) 田村昌,Niigata-ken,10.3.1884–,"WS 1911/12–SS 1913 Medizin (Bakteriologie, Hygiene) – U Heidelberg.Chefarzt im Kanazawa-Hospital."
2080,Tanabe Gisaburô 田辺義三郎,Esaki,21.8.1859–,WS 1876/77–SS 1881 Ingenieurwesen (Tiefbau) – TH Hannover.
2081,Tanabe Kaoru 田辺芳,"Hikone, Shiga-ken",15.9.1860-1925,"1886–1890 Recht ♦ WS 1886/87–WS 1888/89 – U Heidelberg, Grabengasse 6, bei Moll-Heckmann ♦ SS 1889 – U Leipzig, Harkortstr. 7 ♦ WS 1889/90 – U Berlin, Charlottenburger Str. 59.Richter."
2082,Tanabe Toshitsura 田辺敏行,Tôkyô,Juli 1878–,Nov. 1913–1914 Recht in Marburg und Berlin.Abteilungsleiter der Mandschurischen Eisenbahn.
2083,Tanahashi Aishichi 棚橋愛七,Tôkyô,8.10.1864–,1899 (MfJ) Recht in Berlin.Richter am Obersten Gericht.
2084,Tanahashi Gentarô 棚橋源太郎,Gifu-ken,17.7.1869–3.4.1961,"SS 1910–WS 1910/11 (MfB) Germanistik – U Berlin, W 62 Lutherstr. 10.Pädagoge, Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô, Direktor des Bildungsmuseums Kyôiku Hakubutsukan in Yushima.. Publik. u.a. Shukôka kyô-jusho 手工科教授書 (Lehrbuch für den Handarbeitskurs, 2 Bde), Mitautor von Kagaku jikken annai 化学実験案内 (Leitfaden für chemische Versuche), Shôgaku kakka kyôjuhô 小學各科教授法 (Unterrichtsmethoden für verschiedene Grundschulfächer), Tanahashi Gentarô sensei (1869–1961) kenkyû shiryôshû 棚橋源太郎先生(1869〜1961)研究資料集 (Sammlung von Studienmaterialien des Professor Tanahashi Gentarô), Tanahashi Gentarô shi to kagaku kyôiku 棚橋源太郎氏と科學教育 (Tanahashi Gentarô und wissenschaftliche Bildung), Hakubutsukangaku kôyô 博物館學綱要 (Kompendium der Museumswissenschaft), Hakubutsukan kyôiku 博物館教育 (Museumsbildung)."
2085,Tanahashi Hanzô,Berlin,16.2.1885–10.11.1941,"1904–1908 und 1911-1914 Recht ♦ WS 1904/05–WS 1907/08 – U Leipzig, Playwitzerstr. 19/1 ♦ WS 1911/12–SS 1914 – U Berlin, Schöneberg, Meraner Str. 9."
2086,Tanahashi Ichizô,-,-,"WS 1913/14 Ingenieurwesen – TH Berlin, Charlottenburg, Heilbronner Str. 15/1."
2087,Tanaka Fuji 田中不二,Tôkyô,20.8.1877–19.11.1922,"Juli 1908–1910 (MfB) Ingenieurwesen (Maschinenbau).Professor der Tôkyô-Universität und der Marineakademie. Publik. u.a. Kikai seisakuhô 機械製作法 (Gesetze des Maschinenbaus), Mitautor von Kikai sekkei oyobi seizu 機械設計及製圖 (Maschinenpläne und -zeichnungen)."
2088,Tanaka Hidesuke 田中秀介,Tôkyô,18.5.1883–,"WS 1910/11–SS 1911 Chemie – TH Hannover, Wiesenstr. 71/2.Pharmazeut."
2089,Tanaka Itsuki (Gen) 田中厳,Kumamoto,5.2.1883–,"1907 und 1909–1913 Medizin (HNO-Krankheiten) ♦ Aug.–Okt. 1907 in Straßburg ♦ WS 1909/10–SS 1911 – U München, Maistr. 33/2; Mozartstr. 9/2.Dr. med. 1913, München: Aus der otiatrischen Klinik zu München. Doppelseitige Labyrinthnekrose nach Scharlach. München 1910, 34 S.Arzt in Kumamoto."
2090,Tanaka Jirô 田中次郎,Saga-ken,Okt. 1873–,1906–1908 Recht in Berlin.Direktor Nihon Petroleum Co.
2091,Tanaka Kamakichi,Yokohama,21.12.1876–,"WS 1895/06–SS 1904 Ingenieurwesen (Maschinenbau) – TH Berlin, Kurfürstenstr.125.Dipl. Ing. 1902."
2092,Tanaka Kiichi 田中喜一,Kyôto,12.12.1872–,"WS 1901/02–WS 1902/03 Medizin (Chirurgie) – U Greifswald, Bahnhofstr. 10.Dr. med. 1902, Greifswald: Einige neue Modifikationen osteoplastischer Amputationen an Fuß und Knie. 41 S.Chefarzt für Chirurgie."
2093,Tanaka Kôtarô 田中弘太郎,-,1864–5.6.1938,"Okt. 1901–Febr. 1906 (Armee) Ingenieurwesen als Oberstleutnant bei Friedrich Krupp Co. in Essen.General, Direktor des Militärwissenschaftlichen Instituts Rikugun Kagaku Kenkyûjo."
2094,Tanaka Kumakichi,-,-,1912–1913 Ingenieurwesen in Gutehoffnungshütte Oberhausen.
2095,Tanaka Masahiko 田中政彦,"Kurume-shi, Fukuoka-ken",21.10.1876–10.1.1952,"WS 1908/09–SS 1914 Medizin – U Straßburg, Arnoldplatz 6; Gailerstr. 42; Wimpfelingstr. 13; Mannheimer Str. 5; Strauß-Dürkheimstr. 8; Fischartstr. 12.Professor der Medizinischen Hochschule Kyûshû Igaku Senmon Gakkô, Direktor des Hospitals, Arzt in Nagasaki."
2096,Tanaka Masuzu 田中正鐸,-,–27.3.1931,"SS 1901 Medizin (Pathologie) – U Berlin, NW 6 Luisenstr. 61.Arzt in der Präfektur Aichi."
2097,Tanaka Naetarô 田中苗太郎,Kyôto,1869–15.12.1910,"1901–1903 (Armee) Medizin.270Militärarzt, Direktor des Daikan-Hospitals in Kagoshima. Publik. u.a. Mitautor von Geka shindangaku 外科診断学 (Chirurgische Diagnostik, 2 Bde.) und Seiyô anmajutsu kôgi 西洋按摩術講義 (Vorträge über westeuropäische Massage)."
2098,Tanaka Otoine 田中弟稲,Tottori-shi,Okt. 1881–,"Dez. 1907–Jan. 1912 Recht  ♦ SS 1908 – U Göttingen, Kreuzbergweg 15 ♦ WS 1910/11–WS 1911/12 – U Göttingen, Nikolausb. Weg 56.Direktor der Lebensversicherung Nihon Seimei Hoken."
2099,Tanaka Setsusaburô 田中節三郎,Tôkyô,28.6.1865–11.11.1903,"1893 (MfLH) Agrarstudien ♦ WS 1901/02–SS 1902 (MfB) Ökonomie – U Bonn, Münsterstr. 13.Agronom, Professor der Tôkyô-Universität. Publik. u.a. Saibai kakuron 栽培各論 (Spezielle Züchtungen)."
2100,Tanaka Shôhei 田中正平,Awajishima,15.5.1862–16.10.1945,"1882–1899 (MfB) NW-Studien (♦ WS 1884/85–SS 1887 Akustik bei Helmholtz – U Berlin, Kruppstr. 8.Musik- und Naturwissenschaftler, Professor der Tôkyô-Universität; entwickelte noch in Berlin 1889 als erster in der Welt eine „Reinklang-Kleinorgel“ (junseichô kogata orugan 純正憧憬小形オルガン) und mit finanzieller Unterstützung des deutschen Kaisers 1892 eine „Reinklang-Orgel“ (junseichô paipu orugan „Enharmonium“、純正調パイプオルガン), als Mitglied der Rômajikai war er aktiv in der Verbreitung der lateinischen Schrift in Japan. Publik. u.a. Mitautor von Kinsei gakuten kyôkasho 近世樂典教科書 (Lehrbuch der modernen Musikregeln), Waiorin ni te junseion no hyôshutsu 「ヴァイオリン」にて純正音の表出 (Hervorbringen reiner Töne auf der Violine), Nihon wasei no kiso 日本和声の基礎 (Grundlagen japanischer Harmonie)、 Tanaka Shôhei hakushi: sekaiteki ongaku gakusha 田中正平博士: 世界的音楽学者 (Dr. Tanaka Shôhei: Ein Musiker von Weltgeltung)."
2101,Tanaka Suiichirô 田中萃一郎,Shizuoka-ken,7.3.1873–13.8.1923,"GH WS 1906/07–SS 1907 Recht – U Leipzig.Historiker, Professor der Keiô-Universität. Publik. u.a. Ô-Bei no seitô seiji 歐米の政黨政治 (Parteienpolitik in Europa und Amerika, 1913), Tanaka Suiichirô shigaku ronbunshû 田中萃一郎史學論文集 (Sammlung historischer Aufsätze von Tanaka Suiichirô), Tôhô kinseishi 東邦近世史 (Neuere Geschichte östlicher Länder, 3 Bde.), Sekai taisen no chûshin jinbutsu 世界大戰の中心人物 (Zentrale Persönlichkeiten des Weltkrieges, 1914), Fusen undô to byôteki shisô 普選運動と病的思想 (Die Bewegung für allgemeine Wahlen und krankhafte Ideen, 1920)."
2102,Tanaka Takehiko 田中筠彦,Tôkyô,11.10.1873–7.6.1923,"März 1910–Juni 1912 (Marine) Medizin (Innere) ♦ SS 1910–SS 1911 – U Göttingen, Weender Chaussee 48; Weender Chaussee 41 ♦ WS 1911/12 – U Berlin.Marinearzt, Lektor an der Medizinischen Marinehochschule Kaigun Guni Gakkô."
2103,Tanaka Tamio 田中民夫,Tottori-ken,Febr. 1867–,Juli 1909–Okt. 1911 (MfB) Medizin in Straßburg und Berlin.Professor der Medizinischen Hochschule Nagasaki Igaku Senmon Gakkô.
2104,Tanaka Tomoji (Tomoharu) 田中友治,Yamagata-ken,24.1.1875–17.4.1926,"Aug. 1907–Dez. 1908 Medizin (Urologie) in Breslau.Professor der Tôkyô-Universität. Publik. u.a. Bankin ni okeru karyûbyô shindan oyo-bi ryôhô 輓近ニ於ケル花柳病診斷及療法 (Diagnosen von Geschlechtskrankheiten und Behandlungsmethoden in neurer Zeit), Nyôbyô sanroku 尿病纂録 (Kompilation Harnkrankheiten)."
2105,Tanakadate Aikitsu 田中館愛橘,Iwate-ken,16.11.1856–21.5.1952,"SS 1890–SS 1891 (MfB) NW-Studien – U Berlin, Charlottenburg, Kantstr. 5.Professor der Tôkyô-Universität, Mitglied des Gakushiin, leistete Pionierarbeit in Japan auf den Gebieten Gravitation, Erdmagnetismus, Erdbeben, Geodäsie, Mitglied mehrerer internationaler Wissenschaftsorganisationen, Mitbegründer der Tôhoku-Universität 1907, 1925 Mitglied des Kizokuin, wirkte im Sinne der Rômajikai. Publik. u.a. Measurement of the force of gravity and magnetic constants at Ogasawarajima (Bonin island) (Tôkyô 1885), Circumstances of introducing Roman characters to Japanese writing (1928), Mitautor von A magnetic survey of all Japan und Rômaji yomikata ローマ字讀み方 (Leseart der Rômaji)."
2106,Tanba Keizô 丹波敬三,Tôkyô,28.1.1854–19.10.1927,"WS 1884/85–WS 1885/86 (MfB) Chemie – U Erlangen, Katholischer Kirchplatz 1. ♦ 1886 RKI Berlin.272Dr. phil. 1886, Erlangen: Studien über das Verhalten der Ptomaine bei forensisch-chemischen Arbeiten. 20 S.Pionier japanischer Pharmazie, Mitbegründer und später Direktor der pharmazeutischen Hochschule Tôkyô Yakugaku Senmon Gakkô, Professor der Tôkyô-Universität. Publik. u.a. Mitautor von Eisei shikenhô 衛生試験法 (Prüfmethoden der Hygiene), Muki kagaku 無機化学 (Anorganische Chemie, 2 Bde.), Yûki kagaku 有機化學 (Organische Chemie), Kagaku kôgyô zensho 化學工業全書 (Chemieindustrie, Bd. 3), Butsurigaku 物理學 (Physik) Futsû dôbustugaku 普通動物學 (Allgemeine Zoologie)."
2107,Tani Seiya 谷静也,Fukui,2.8.1870–,"WS 1901/02–SS 1902 Medizin – U Marburg, Wehrdaerweg 5, bei Frankfurth."
2108,Tani Takasaburô 谷高三郎,Okayama-ken,3.6.1875–,"SS 1906–WS 1907/08 Medizin (Innere) – U Würzburg, Kartause 1 ½.Dr. med. 1907, Würzburg: Untersuchungen über die Bestimmung des Kohlenoxydes im Tabakrauch und seine hygienische Bedeutung. 24 S.Arzt im Tani-Hospital für Innere Krankheiten in Kôbe."
2109,Tanida Shigetarô 谷田繁太郎,Ôsaka,1872–8.7.1938,"1912 (Armee) Militärstudien als Oberst der Pioniere in Berlin, „Studium der Bewaffnung und Ausrüstung der Technischen Truppen“273.Generalleutnant."
2110,Tanie Takeshi 谷江長,Fukui-ken,Okt. 1874–,"1902–1905 (Unt) Ingenieurwesen (Textilverarbeitung) in Chemnitz, Werden, Aachen und Köln.Direktor von Textilunternehmen in Mie und Itami."
2111,Taniguchi Enjirô 谷口園次郎,"Kitasôma-gun, Ibaraki-ken",22.10.1879–,"Juli 1910–April 1912 (Armee) Medizin ♦ WS 1910/11–WS 1911/12 – U München, Waltherstr. 16/3 r.Dr. med. 1912, München: Beiträge zur Casuistik der perniciösen Anämie.Militärarzt."
2112,Taniguchi Ken 谷口謙,Tôkyô,2.1.1856–11.9.1929,"Juli 1886–Nov. 1889 (Armee) Medizin ♦ SS 1887–SS 1889 – U Berlin, NW 6 Luisenstr. 65.Militärarzt, Arzt in Sendai."
2113,Taniguchi Kichitarô 谷口吉太郎,Tôkyô,15.9.1868–26.11.1936,"SS 1902–WS 1903/04 Medizin (Innere) – U Leipzig, Emilienstr. 6/4; Josephinenstr. 6/3; Albertstr. 31/2.Direktor des privaten Kyokutô-Hospitals. Mitautor von Naikagaku taisei 内科學大成 (Komplettierung der Inneren Medizin, 1899)."
2114,Taniguchi Nagao 谷口長雄,"Uwajima, Ehime-ken",6.4.1865–14.1.1920,"SS 1902–SS 1903 Medizin (Innere) – U Berlin, NW 6 Philippstr. 6.Direktor Kumamoto-Hospital, Direktor der Medizinischen Fachschule Kumamoto Igaku Senmon Gakkô. Publik. u.a. Taniguchi Nagao den 谷口長雄傳 (Biografie von Taniguchi Nagao)."
2115,Taniguchi Yasaburô 谷口弥三郎,Kagawa-ken,13.8.1883–19.8.1963,"1912–1914 Medizin (Gynekologie) ♦ WS 1912/13–SS 1913 – U München, Landwehrstr. 85/2; Maistr. 20 ♦ WS 1913/14–SS 1914 Recht – U Halle, Forsterstr. 24/2.Dr. med. 1913, München: Aus der Universitäts-Frauenklinik München. Über den extraperitonealen Kaiserschnitt, besonders seine Technik und Indikationsstellung. 46 S.Professor und Präsident der Medizinischen Hochschule Kumamoto Igaku Senmon Gakkô, 1953 Präsident der Kurume-Universität. Publik. u.a. Ninshin tsuwari oyobi sono kaisetsu: zen 妊娠惡阻及其療法: 全 (Schwangerschaftserbrechen und deren Erklärung), Mitautor von Yûsei hogohô shôkai 優生保護法詳解 (Erläuterung von Eugenik-Schutzmethoden)."
2116,Tanimoto Tomeri 谷本富,"Takamatsu, Kagawa-ken",17.10.1867–1.2.1946,"GH SS 1901 Philosophie, Pädagogik – U Leipzig.Pädagoge, Professor der Kyôto-Universität. Publik. u.a. Kagakuteki kyôikugaku kôgi 科学的教育学講義 (Vorlesungen zur wissenschaftlichen Pädagogik, 1895), Ôshû kyôiku no shinka 欧州教育の進化 (Die Entwicklung der Pädagogik in Europa), Kyôiku to shûkyô 教育と宗教 (Bildung und Religion), Jitsuyô kyôikugaku oyobi kyôjuhô 實用教育學及教授法 (Angewandte Pädagogik und Lehrmethoden), Daigaku kôgi zenshû 大学講義全集 (Universitätsvorlesungen, 4 Bde), Kobo Daishi: his position in the history of Japanese civilisation (Kôbe 1907)."
2117,Tanino Tadasu 谷野格,Hyôgo-ken,16.8.1874–10.6.1923,1908–1909 (LB) Recht in Berlin.Direktor der Taipei-Akademie für Recht.
2118,Tanji Zenzô 丹治善造,"Ômori, Fukushima-ken",1.3.1879–26.2.1941,"1912–1914 Medizin (Innere) ♦ SS 1912 – U Berlin, Charlottenburg, Kantstr. 72. ♦ WS 1912/13–SS 1913 – U Leipzig, Lindenstr. 18/2 ♦ WS 1913/14 – U Halle, Weidenplan 10/2.Büroleiter der Lebensversicherung Nihon Seimei Hoken. Publik. u.a. Jissen seimei hoken igaku 實踐生命保險醫學 (Medizin in der praktischen Lebensversicherung)."
2119,Tanô Eiichirô 多納栄一郎,Tôkyô,27.1.1864–,"WS 1887/88–SS 1889 Medizin (Innere) – U Tübingen, Belthlestr. 12.Dr. med. 1896, Freiburg: Über die bakteriologischen Untersuchungen der Urethra filamente bei der Urethritis chronica männlichen Geschlechts. 47 S.Professor an einem Obergymnasium."
2120,Tanô Kaichirô 多納禾一浪,Matsue,3.3.1866–,"1897–1899 Medizin ♦ WS 1897/98–WS 1898/99 – U Göttingen, Bertheaustr. 1, bei Rambke; Wilhelm Weberstr. 12, bei Grosse ♦ SS 1899 – München, Lindwurmstr. 35/3 l.Dr. med. 1899, Göttingen: Über den Zusammenhang der Leukocytenzahl und der Harnsäureausscheidung in den verschiedenen Lebensaltern. 30 S."
2121,Tanokami (Tagami) Seizô (Shôzô) 田上省三,-,–1932,"WS 1887/88–SS 1889 Recht – U Berlin, NW Karlstr. 13."
2122,Tasaka Toranosuke 田坂虎之助,Hiroshima,1850–1919,"Dez. 1870–Nov. 1882 (Dajôkan) Militärstudien in Österreich, Deutschland und Frankreich.Studierte in Preußen acht Jahre Militärwissenschaft und Geodäsie, führte nach seiner Rückkehr in Japan an Stelle der bis dato französischen die neue deutsche Methode der Triangulation in der Landvermessung ein.274"
2123,Tashima Shigene 田島繁稲,Kôchi,1.2.1881–,"Mai 1909–Mai 1912 (Armee) NW-Studien (Physik, Mathematik) ♦ WS 1909/10 – TH Berlin, NW Tile-Wardenberg-Str. 12 ♦ WS 1910/11–WS 1911/12 – U München, Nordendstr. 10a/2; Kaulbachstr 63a/2 m.; Jägerstr. 6/1 ♦ ab Okt. 1911 für 3 Monate zum 1. Fußartillerie-Regiment in München kommandiert."
2124,Tashiro Akitarô 田代秋太郎,"Ôgaki-shi, Gifu-ken",6.11.1867–26.7.1908,"1897–Dez. 1902 Medizin (Augenheilkunde) ♦ WS 1900/01 – U Leipzig, Reudnitz, Josephinenstr. 6/1 ♦ SS 1901–SS 1902 – U Halle, Schillerstr. 14; Uhlandstr. 3.Dr. med. 1902, Halle: Über Bau und Pigmentierung der Aderhautsarkome. 59 S., 3 Taf.Professor der Medizinischen Hochschule Sendai Igaku Senmon Gakkô, Arzt im Meiji-Hospital."
2125,Tashiro Masashi 田代正,Fukui-ken,25.1.1860–13.1.1918,"WS 1897/98 (MfB) Medizin (Chirurgie) – U Berlin, NW 6 Luisenstr. 54 ♦ SS 1898–SS 1899 (MfB) Mathematik – U Berlin, NW 6 Luisenstr. 54.Direktor der Medizinische Fachschule Nagasaki Igaku Senmon Gakkô"
2126,Tashiro Mitsuo 田代光雄,Tôkyô,Febr. 1880–,"Jan. 1907–April 1910 (MfB) Germanistik ♦ SS 1907–SS 1909 – U Berlin, W 30Luitpoldstr. 34.Professor an der Fremdsprachenschule Tôkyô Gaikokugo Gakkô."
2127,Tashiro Toyosuke 田代豊助,Kagoshima-ken,5.12.1875–,1912–1914 (MfB) Medizin in Straßburg und Frankfurt/Main.Professor der Medizinischen Hochschule Nagasaki Igaku Senmon Gakkô.
